,0
974,556946.7419081279
975,160087.25953696304
976,1701688.1794505976
977,2686991.156175525
978,625958.5745151624
979,1772085.9617928278
980,2928448.158745462
981,395600.5797676969
982,1841093.3880969195
983,468025.1521522797
984,336052.7277060883
985,2063819.0971807602
986,856921.8640248979
987,1436004.2067765368
988,1378286.7495531247
989,2494697.040858088
990,385898.5669491959
991,297682.25101985055
992,883841.5876306114
993,785525.8497499768
994,1579694.9296222248
995,2015656.8018431526
996,2083370.6051991342
997,648635.0033278011
998,1587774.0077133584
999,195112.39586772083
1000,1182782.7463717393
1001,426447.2716886084
1002,526067.5086354155
1003,950954.4086983651
1004,641746.8766864943
1005,2606578.779840339
1006,1316981.4903750592
1007,91613.2227803487
1008,804270.3937950017
1009,975583.7187259136
1010,3010161.7925282833
1011,530808.4797166039
1012,1474646.1125269912
1013,309978.5294660432
1014,1530533.8818968255
1015,599060.8597965753
1016,2489094.42765538
1017,685088.4933874893
1018,431367.2138694277
1019,1380554.0633843942
1020,2014510.050591856
1021,232114.88739606028
1022,4225757.867517895
1023,886838.0205448326
1024,1624373.9042419454
1025,505847.3166273303
1026,3382710.9009648003
1027,596163.085300193
1028,774422.2117218385
1029,372096.7257857575
1030,788441.3410048452
1031,572145.14587027
1032,586222.1588979538
1033,403424.53892860544
1034,1922443.1886980277
1035,2476373.5471032257
1036,2500602.3363926513
1037,646466.5494571656
1038,1422532.0193531986
1039,867958.9956791638
1040,1671187.4125155734
1041,1181142.005771414
1042,258255.01976253433
1043,705613.5960907906
1044,745510.2077453979
1045,2116930.743470199
1046,670961.4427429269
1047,531385.609789551
1048,703398.5322270901
1049,504349.1393966492
1050,1220753.7780198122
1051,288882.79987800785
1052,1970817.531610026
1053,2110441.359797278
1054,2069644.470218932
1055,606468.4060884393
1056,652730.4842631447
1057,521253.9498781529
1058,190704.3406983989
1059,908683.3200023961
1060,516315.69010951556
1061,692193.8154903929
1062,450035.3685236267
1063,421092.7466266141
1064,899099.4875066418
1065,157520.7998950722
1066,990788.0399014371
1067,454241.1728445836
1068,554970.7336949438
1069,1684821.391110122
1070,1725418.0825322857
1071,1034865.7640280352
1072,764655.3352380766
1073,870372.6354723759
1074,764798.0972928973
1075,1676412.719876417
1076,2896256.306013541
1077,222557.3914625555
1078,384882.95931293746
1079,779945.7331909906
1080,1180625.4979360867
1081,688337.3148195676
1082,3532788.542111315
1083,1914182.0645367834
1084,989052.370944973
1085,745030.4035270124
1086,408926.0438887007
1087,498577.45621826197
1088,4259468.835241225
1089,1437619.0389391878
1090,604780.7195442442
1091,1513289.9895087746
1092,661927.289407496
1093,892561.3771664734
1094,530339.1300538108
1095,2063923.4208827242
1096,111619.96005461857
1097,4676547.871543104
1098,2661497.0013561808
1099,626959.3573997031
1100,727100.307481585
1101,2065508.0640241362
1102,769027.1645081635
1103,183204.68907189643
1104,587718.4161685387
1105,1520938.2030261387
1106,1530158.1738523988
1107,211481.63118302755
1108,1438303.5923145134
1109,655760.0715077063
1110,695634.0416695417
1111,488301.11731145176
1112,420660.79976460873
1113,593726.7760926487
1114,984358.2616697752
1115,869551.3954780349
1116,2952017.6830774774
1117,1643036.9130165335
1118,1108151.5645229123
1119,1134577.1179427202
1120,933827.4180110078
1121,195285.63462858362
1122,748409.8995816717
1123,291979.18254153203
1124,367929.17922921956
1125,702054.9161711136
1126,1872630.1828368464
1127,1497948.4512839033
1128,480562.0141549902
1129,1000211.9752645044
1130,1542670.9153425617
1131,2048031.7749875444
1132,2026887.0400489212
1133,343804.4930895507
1134,1666514.947164805
1135,1559145.8447388897
1136,697374.7115187328
1137,968765.7298697174
1138,1098640.176226055
1139,553135.4359406994
1140,1416901.3287028896
1141,1482992.7358922055
1142,1931746.2966568063
1143,391922.4086859481
1144,1180625.4979360867
1145,1658819.8678548124
1146,574778.6709498824
1147,878070.7160431978
1148,1145463.5332356505
1149,1028947.4741121774
1150,688435.7767890986
1151,343620.78063173307
1152,2360987.9632048127
1153,349874.09256830305
1154,466691.73400677217
1155,739268.9581974646
1156,1331588.1844597785
1157,2681619.8500685687
1158,1211872.2202043103
1159,458954.9427132627
1160,894700.5176444603
1161,331251.4622837044
1162,406365.74856714014
1163,432630.1630946697
1164,749576.1325225416
1165,360655.7629510437
1166,950577.8977048823
1167,635276.7820759886
1168,1917643.169283304
1169,1616410.0880873865
1170,545885.3067657896
1171,481105.87114519085
1172,1255105.3382145788
1173,315636.02201565343
1174,116138.26454505575
1175,1440088.5734834871
1176,494762.4938843224
1177,2123174.950349384
1178,719549.9789372794
1179,1945750.9009218372
1180,1585739.7841316545
1181,775309.994765209
1182,1778355.8671958647
1183,748982.9281745591
1184,580192.126449228
1185,2477114.0011129985
1186,1781722.1866551049
1187,477954.6582215586
1188,514294.5621775324
1189,394446.36830221926
1190,2439233.273833775
1191,449334.10171853163
1192,1022605.8350901821
1193,1505057.010147761
1194,1998936.145311098
1195,1054528.0541963407
1196,1168513.537146161
1197,2877434.879012095
1198,2402766.687297748
1199,1462999.5952971212
1200,3265872.9308766946
1201,177760.005390699
1202,568036.5361083632
1203,1074546.1717115366
1204,1174874.8113540057
1205,1602578.327096245
1206,1399547.494557026
1207,787140.4480061169
1208,1224549.4116974168
1209,2025704.2002666346
1210,3162842.109864126
1211,696011.332624701
1212,769799.7193735607
1213,2030224.2649519432
1214,584200.1040765875
1215,1964271.479892012
1216,1075330.550563229
1217,1271010.0798202364
1218,3129228.449967726
1219,2414835.845081523
1220,1943453.3644192263
1221,752618.4184196496
1222,993084.497912321
1223,1121602.936068889
1224,2095356.2626806083
1225,401115.6471829191
1226,1204778.7631913451
1227,815415.7169459633
1228,867458.4612577973
1229,4189741.299968075
1230,696843.3795775383
1231,962170.2592052746
1232,1746611.8489960863
1233,1265130.805569062
1234,1359522.341617963
1235,1441734.0779419835
1236,748856.5097963372
1237,749709.1399741749
1238,1453374.1694222698
1239,894060.2192926124
1240,2127427.246613434
1241,2052220.2802476257
1242,1758483.3889024553
1243,239982.81616432368
1244,1006856.8456633919
1245,837112.7215004808
1246,463923.4115916934
1247,705370.4452161489
1248,366460.6310943468
1249,842525.0189385659
1250,468552.16310621274
1251,789321.3485379707
1252,573733.7617497832
1253,1589056.0881533956
1254,415658.2144656319
1255,758550.5552491598
1256,1167569.6394743389
1257,723610.1049909084
1258,322452.7237975554
1259,200711.1423112513
1260,2518239.957108417
1261,584307.5102165549
1262,1185742.1633808513
1263,693687.9260013324
1264,574107.7074508234
1265,748454.8029577201
1266,895951.7950964591
1267,201500.08932203625
1268,436510.2774766269
1269,1190281.0467117506
1270,947440.2177538354
1271,643818.1088803827
1272,1856620.1127685688
1273,3242235.3047302477
1274,887590.8743118644
1275,219660.47458845988
1276,1263959.4720598415
1277,269565.2660751911
1278,1291973.0452242212
1279,425785.2011729283
1280,2828803.640887198
1281,1431381.8452409455
1282,506327.4698711605
1283,444278.60253951896
1284,1199828.694800485
1285,701139.0242540461
1286,1740807.4111522664
1287,655195.6696383738
1288,652697.9492757439
1289,137284.90012206484
1290,1550186.020434823
1291,924790.9306033358
1292,967558.4099770421
1293,2567464.0355618205
1294,959288.0731077502
1295,696866.8592765925
1296,561934.5579555702
1297,1162655.0321649292
1298,754494.1928227376
1299,130386.05054486652
1300,618556.7093777559
1301,352891.1149328942
1302,552599.3559331378
1303,364858.58740475005
1304,628794.8082337242
1305,880710.7891855047
1306,523095.9002689649
1307,1102677.8036943418
1308,3029513.8345410377
1309,631211.4972517353
1310,738470.5598817795
1311,713163.6535389283
1312,595484.9155622219
1313,1615872.3218262515
1314,1068944.7658786823
1315,1931009.3082522051
1316,1161968.6657241194
1317,1557277.3528865136
1318,48331.49200574029
1319,380618.103142525
1320,1302955.7464906515
1321,558794.0695455471
1322,847265.7554452287
1323,379214.45922080096
1324,1557498.4837132955
1325,1978529.0575039035
1326,1427129.6278544934
1327,952171.9406629525
1328,973041.5973219179
1329,1888707.692796269
1330,542593.7537780316
1331,213312.17916948276
1332,903199.9322695853
